index,hit_x,hit_y,hit_time,hit_timestamp,land_x,land_y,land_time,land_timestamp,speed
1,560,493,135.044884,2025-05-30T00:41:10.044Z,771,493,135.078217,2025-05-30T00:41:10.078Z,170.91
2,476,413,138.600238,2025-05-30T00:41:13.600Z,566,447,138.633571,2025-05-30T00:41:13.633Z,77.93
3,447,391,145.315755,2025-05-30T00:41:20.315Z,600,435,145.349088,2025-05-30T00:41:20.349Z,128.95
4,449,376,148.921888,2025-05-30T00:41:23.921Z,527,427,148.955221,2025-05-30T00:41:23.955Z,75.49
5,498,432,159.512404,2025-05-30T00:41:34.512Z,671,454,159.545737,2025-05-30T00:41:34.545Z,141.26
6,410,400,200.94027,2025-05-30T00:42:15.940Z,617,452,200.973603,2025-05-30T00:42:15.973Z,172.88
7,464,432,204.828935,2025-05-30T00:42:19.828Z,622,457,204.862268,2025-05-30T00:42:19.862Z,129.57
8,456,374,222.047316,2025-05-30T00:42:37.047Z,527,405,222.080647,2025-05-30T00:42:37.080Z,62.76
9,369,398,226.35105,2025-05-30T00:42:41.351Z,500,442,226.384383,2025-05-30T00:42:41.384Z,111.94
10,481,405,229.938071,2025-05-30T00:42:44.938Z,620,437,229.971404,2025-05-30T00:42:44.971Z,115.54
11,495,435,258.367593,2025-05-30T00:43:13.367Z,712,471,258.400926,2025-05-30T00:43:13.400Z,178.17
12,412,410,262.043529,2025-05-30T00:43:17.043Z,590,452,262.076862,2025-05-30T00:43:17.076Z,148.14
13,551,430,288.236031,2025-05-30T00:43:43.236Z,737,491,288.269364,2025-05-30T00:43:43.269Z,158.56
14,442,413,319.412003,2025-05-30T00:44:14.412Z,568,481,319.445336,2025-05-30T00:44:14.445Z,115.98
15,449,415,323.222211,2025-05-30T00:44:18.222Z,700,442,323.255544,2025-05-30T00:44:18.255Z,204.48
16,471,427,329.894125,2025-05-30T00:44:24.894Z,702,476,329.927458,2025-05-30T00:44:24.927Z,191.28
17,456,405,333.762894,2025-05-30T00:44:28.762Z,571,442,333.796227,2025-05-30T00:44:28.796Z,97.85
18,354,422,389.774734,2025-05-30T00:45:24.774Z,600,410,389.808067,2025-05-30T00:45:24.808Z,199.50
19,476,437,399.980961,2025-05-30T00:45:34.980Z,676,469,400.014293,2025-05-30T00:45:35.014Z,164.07
20,476,405,420.322888,2025-05-30T00:45:55.322Z,649,459,420.356221,2025-05-30T00:45:55.356Z,146.80
21,439,425,424.441394,2025-05-30T00:45:59.441Z,632,466,424.474727,2025-05-30T00:45:59.474Z,159.82
22,454,427,428.222545,2025-05-30T00:46:03.222Z,571,469,428.255878,2025-05-30T00:46:03.255Z,100.69
23,461,398,444.930326,2025-05-30T00:46:19.930Z,566,442,444.963659,2025-05-30T00:46:19.963Z,92.22
24,510,400,478.075314,2025-05-30T00:46:53.075Z,702,457,478.108647,2025-05-30T00:46:53.108Z,162.23
25,481,366,481.882717,2025-05-30T00:46:56.882Z,554,422,481.91605,2025-05-30T00:46:56.916Z,74.53
26,464,418,485.809908,2025-05-30T00:47:00.809Z,534,461,485.843241,2025-05-30T00:47:00.843Z,66.54
27,539,405,516.180005,2025-05-30T00:47:31.180Z,778,476,516.213338,2025-05-30T00:47:31.213Z,201.95
28,447,398,538.634345,2025-05-30T00:47:53.634Z,651,449,538.667678,2025-05-30T00:47:53.667Z,170.33
29,417,393,570.676267,2025-05-30T00:48:25.676Z,488,444,570.7096,2025-05-30T00:48:25.709Z,70.81
30,512,393,587.293975,2025-05-30T00:48:42.293Z,715,457,587.327308,2025-05-30T00:48:42.327Z,172.41
31,498,393,608.408653,2025-05-30T00:49:03.408Z,598,442,608.441986,2025-05-30T00:49:03.441Z,90.20
32,503,415,620.206568,2025-05-30T00:49:15.206Z,690,447,620.239901,2025-05-30T00:49:15.239Z,153.67
33,459,435,629.102279,2025-05-30T00:49:24.102Z,637,466,629.135612,2025-05-30T00:49:24.135Z,146.35
34,461,418,671.473598,2025-05-30T00:50:06.473Z,673,442,671.506931,2025-05-30T00:50:06.506Z,172.82
35,442,415,685.853284,2025-05-30T00:50:20.853Z,676,466,685.886617,2025-05-30T00:50:20.886Z,193.99
36,515,396,694.584131,2025-05-30T00:50:29.584Z,671,454,694.617464,2025-05-30T00:50:29.617Z,134.81
37,476,430,727.201395,2025-05-30T00:51:02.201Z,605,464,727.234728,2025-05-30T00:51:02.234Z,108.06
38,400,391,734.869439,2025-05-30T00:51:09.869Z,498,430,734.902772,2025-05-30T00:51:09.902Z,85.44
39,510,403,743.631498,2025-05-30T00:51:18.631Z,693,437,743.664831,2025-05-30T00:51:18.664Z,150.77
40,395,410,752.163386,2025-05-30T00:51:27.163Z,615,442,752.196719,2025-05-30T00:51:27.196Z,180.08
41,464,400,760.488208,2025-05-30T00:51:35.488Z,595,403,760.521541,2025-05-30T00:51:35.521Z,106.14
42,471,400,764.939916,2025-05-30T00:51:39.939Z,542,437,764.973249,2025-05-30T00:51:39.973Z,64.85
43,422,415,781.431888,2025-05-30T00:51:56.431Z,637,442,781.465221,2025-05-30T00:51:56.465Z,175.52
44,347,403,790.348959,2025-05-30T00:52:05.348Z,554,444,790.382292,2025-05-30T00:52:05.382Z,170.93
45,488,396,818.13705,2025-05-30T00:52:33.137Z,600,449,818.170383,2025-05-30T00:52:33.170Z,100.37
46,468,403,829.205128,2025-05-30T00:52:44.205Z,629,491,829.238461,2025-05-30T00:52:44.238Z,148.62
47,473,398,829.205128,2025-05-30T00:52:44.205Z,639,493,829.238461,2025-05-30T00:52:44.238Z,154.92
48,366,427,836.858701,2025-05-30T00:52:51.858Z,488,447,836.892034,2025-05-30T00:52:51.892Z,100.14
49,378,413,844.415671,2025-05-30T00:52:59.415Z,607,447,844.449004,2025-05-30T00:52:59.449Z,187.53
50,498,430,848.452716,2025-05-30T00:53:03.452Z,639,447,848.486049,2025-05-30T00:53:03.486Z,115.04
